as_kick_scale,tox_persist,AlwaysMarket_mean,AlwaysMarket_p90,AlwaysMarket_fill_rate,AlwaysMarket_avg_first_fill_t,ToxicityAware_mean,ToxicityAware_p90,ToxicityAware_fill_rate,ToxicityAware_avg_first_fill_t,delta_mean,delta_p90,delta_avg_first_fill_t
0.0,0.6,0.008381767350246037,0.06035536940914455,1.0,1.0,0.013996239267086708,0.13186395744625656,1.0,1.0,0.0056144719168406704,0.07150858803711202,0.0
0.0,0.75,0.008410502915953657,0.0603336253958446,1.0,1.0,0.015705115197080205,0.13214682075500833,1.0,1.0,0.007294612281126548,0.07181319535916372,0.0
0.0,0.85,0.008429659959756747,0.06031912938698128,1.0,1.0,0.014866784532416943,0.12405843398434656,1.0,1.02,0.006437124572660196,0.06373930459736528,0.020000000000000018
0.0,0.95,0.00844881700356126,0.0603046333781066,1.0,1.0,0.012938340565729617,0.1245686395909516,1.0,1.02,0.0044895235621683575,0.064264006212845,0.020000000000000018
0.01,0.6,0.008381767350246037,0.06035536940914455,1.0,1.0,0.020613108394390168,0.1368620901749523,1.0,1.0,0.01223134104414413,0.07650672076580775,0.0
0.01,0.75,0.008410502915953657,0.0603336253958446,1.0,1.0,0.02225263566079775,0.13411606725080816,1.0,1.0,0.013842132744844093,0.07378244185496355,0.0
0.01,0.85,0.008429659959756747,0.06031912938698128,1.0,1.0,0.021110230122380072,0.12875281647918088,1.0,1.02,0.012680570162623325,0.0684336870921996,0.020000000000000018
0.01,0.95,0.00844881700356126,0.0603046333781066,1.0,1.0,0.018951760170489253,0.12859320128508928,1.0,1.02,0.010502943166927993,0.06828856790698268,0.020000000000000018
0.02,0.6,0.008381767350246037,0.06035536940914455,1.0,1.0,0.027229977521697604,0.14054172168688553,1.0,1.0,0.018848210171451565,0.08018635227774099,0.0
0.02,0.75,0.008410502915953657,0.0603336253958446,1.0,1.0,0.028800156124515298,0.139878170104366,1.0,1.0,0.02038965320856164,0.0795445447085214,0.0
0.02,0.85,0.008429659959756747,0.06031912938698128,1.0,1.0,0.027353675712349458,0.134783927458939,1.0,1.02,0.018924015752592713,0.07446479807195772,0.020000000000000018
0.02,0.95,0.00844881700356126,0.0603046333781066,1.0,1.0,0.024965179775251728,0.13261776297923974,1.0,1.02,0.016516362771690468,0.07231312960113315,0.020000000000000018
0.03,0.6,0.008381767350246037,0.06035536940914455,1.0,1.0,0.03384684664899936,0.14413300097440215,1.0,1.0,0.025465079298753322,0.08377763156525761,0.0
0.03,0.75,0.008410502915953657,0.0603336253958446,1.0,1.0,0.03534767658823,0.14367633150971246,1.0,1.0,0.026937173672276344,0.08334270611386785,0.0
0.03,0.85,0.008429659959756747,0.06031912938698128,1.0,1.0,0.033597121302316284,0.13959522631209467,1.0,1.02,0.02516746134255954,0.07927609692511339,0.020000000000000018
0.03,0.95,0.00844881700356126,0.0603046333781066,1.0,1.0,0.030978599380012496,0.13688961028268382,1.0,1.02,0.022529782376451236,0.07658497690457722,0.020000000000000018
0.05,0.6,0.008381767350246037,0.06035536940914455,1.0,1.0,0.047080584903608835,0.15757501003670457,1.0,1.0,0.038698817553362796,0.09721964062756003,0.0
0.05,0.75,0.008410502915953657,0.0603336253958446,1.0,1.0,0.04844271751566197,0.1563908243686626,1.0,1.0,0.04003221459970831,0.096057198972818,0.0
0.05,0.85,0.008429659959756747,0.06031912938698128,1.0,1.0,0.046084012482249935,0.15440304609357583,1.0,1.02,0.03765435252249319,0.09408391670659455,0.020000000000000018
0.05,0.95,0.00844881700356126,0.0603046333781066,1.0,1.0,0.043005438589538016,0.14550720378637721,1.0,1.02,0.034556621585976756,0.08520257040827062,0.020000000000000018
